time,building,meter,avgVoltage,currentA,currentB,currentC,powerA,powerB,powerC
2022-08-21 17:05:00,NAK,NAK02,,,,,(18.307692307692307-2.8461538461538463j),(21.307692307692307+2j),(57.07692307692308-0.0769230769230769j)
2022-08-21 17:10:00,NAK,NAK02,,,,,(17.928571428571427-2.071428571428572j),(19.714285714285715+2.071428571428572j),(54.07142857142857-0.3571428571428571j)
2022-08-21 17:15:00,NAK,NAK02,,,,,(17.133333333333333-2.466666666666667j),(19.33333333333333+2.2j),(53.06666666666667-0.5333333333333333j)
2022-08-21 17:20:00,NAK,NAK02,,,,,(16.285714285714285-2.2857142857142856j),(19.928571428571427+2.071428571428572j),(54.07142857142857+1j)
2022-08-21 17:25:00,NAK,NAK02,,,,,(18.53846153846154-1.3076923076923077j),(20.07692307692308+2.3846153846153846j),(56.76923076923077+1.2307692307692308j)
2022-08-21 17:30:00,NAK,NAK02,,,,,(17.9375-2.75j),(20.375+2.5j),(55.75-0.1875j)
2022-08-21 17:35:00,NAK,NAK02,,,,,(16.142857142857142-2.9285714285714284j),(18.142857142857142+2.142857142857143j),(50.71428571428572-0.2857142857142857j)
2022-08-21 17:40:00,NAK,NAK02,,,,,(15.75-2.9375j),(18.6875+2.1875j),(51.375+1j)
2022-08-21 17:45:00,NAK,NAK02,,,,,(15.357142857142858-3j),(18.214285714285715+2.071428571428572j),(51-0.2857142857142857j)
2022-08-21 17:50:00,NAK,NAK02,,,,,(15.153846153846152-3j),(18+2.076923076923077j),(50.38461538461539-0.6153846153846154j)
2022-08-21 17:55:00,NAK,NAK02,,,,,(15.928571428571429-2.2142857142857144j),(17.642857142857142+2.357142857142857j),(49.5-0.5714285714285714j)
2022-08-21 18:00:00,NAK,NAK02,,,,,(16.142857142857142-2.7857142857142856j),(19.214285714285715+2.9285714285714284j),(52.07142857142857+0.9285714285714286j)
2022-08-21 18:05:00,NAK,NAK02,,,,,(15.071428571428571-2.357142857142857j),(17.357142857142858+2j),(49.285714285714285-0.3571428571428571j)
2022-08-21 18:10:00,NAK,NAK02,,,,,(14.923076923076923-2.6923076923076925j),(17.307692307692307+2.4615384615384617j),(48.53846153846154-0.5384615384615384j)
2022-08-21 18:15:00,NAK,NAK02,,,,,(14.77777777777778-2.888888888888889j),(18.77777777777778+2.7777777777777777j),(51.22222222222222+3.111111111111111j)
2022-08-21 18:20:00,NAK,NAK02,,,,,(14.625-2.8125j),(18.6875+3j),(50.8125+1.625j)
2022-08-21 18:25:00,NAK,NAK02,,,,,(16.266666666666666-2j),(17.266666666666666+2.8666666666666667j),(50.86666666666667+0.6j)
2022-08-21 18:30:00,NAK,NAK02,,,,,(14.533333333333331-2.8666666666666667j),(16.666666666666668+2.1333333333333333j),(46.66666666666666-1.4j)
2022-08-21 18:35:00,NAK,NAK02,,,,,(15.4375-3j),(17.9375+2.9375j),(49.0625+0.5625j)
2022-08-21 18:40:00,NAK,NAK02,,,,,(15.764705882352942-3j),(18.11764705882353+2.7058823529411766j),(50.05882352941177+1.3529411764705883j)
2022-08-21 18:45:00,NAK,NAK02,,,,,(15.076923076923077-2j),(17.23076923076923+2.076923076923077j),(47.53846153846154+0j)
2022-08-21 18:50:00,NAK,NAK02,,,,,(15.266666666666667-2.7333333333333334j),(16.533333333333335+2j),(46.93333333333333-0.9333333333333332j)
2022-08-21 18:55:00,NAK,NAK02,,,,,(15.9375-3j),(17.5625+2j),(50-0.125j)
2022-08-21 19:00:00,NAK,NAK02,,,,,(15.866666666666667-3j),(16.8+2j),(49.53333333333333-0.2j)
2022-08-21 19:05:00,NAK,NAK02,,,,,(15.615384615384617-2.8461538461538463j),(16.615384615384617+2j),(48.30769230769231+0.1538461538461538j)
2022-08-21 19:10:00,NAK,NAK02,,,,,(15.666666666666666-3j),(17.066666666666666+2j),(48.93333333333333-0.2666666666666666j)
2022-08-21 19:15:00,NAK,NAK02,,,,,(16-2.75j),(16.833333333333332+2j),(47.833333333333336-0.25j)
2022-08-21 19:20:00,NAK,NAK02,,,,,(16.133333333333333-2.6666666666666665j),(17+2.066666666666667j),(48.73333333333333-0.6j)
2022-08-21 19:25:00,NAK,NAK02,,,,,(15.88888888888889-2.333333333333333j),(16.88888888888889+2j),(48.11111111111112+0.1111111111111111j)
2022-08-21 19:30:00,NAK,NAK02,,,,,(15.142857142857142-3j),(17.428571428571427+2.071428571428572j),(48.92857142857143+0.9285714285714286j)
2022-08-21 19:35:00,NAK,NAK02,,,,,(15.375-3j),(16.75+2j),(47.9375-0.6875j)
2022-08-21 19:40:00,NAK,NAK02,,,,,(15.615384615384617-3.3846153846153846j),(16.615384615384617+2.230769230769231j),(48.30769230769231-1.4615384615384617j)
2022-08-21 19:45:00,NAK,NAK02,,,,,(15.071428571428571-3j),(16.285714285714285+2j),(46.71428571428572-0.9285714285714286j)
2022-08-21 19:50:00,NAK,NAK02,,,,,(15.666666666666666-3.333333333333333j),(17.733333333333334+2.2666666666666666j),(50-0.2666666666666666j)
2022-08-21 19:55:00,NAK,NAK02,,,,,(15.5-2.7857142857142856j),(17.142857142857142+2.642857142857143j),(48.5-0.6428571428571429j)
2022-08-21 20:00:00,NAK,NAK02,,,,,(15-2.769230769230769j),(16.384615384615383+2.6153846153846154j),(47.38461538461539-0.2307692307692307j)
2022-08-21 20:05:00,NAK,NAK02,,,,,(15.176470588235292-2.823529411764706j),(18.058823529411764+2.8823529411764706j),(49+0.7058823529411765j)
2022-08-21 20:10:00,NAK,NAK02,,,,,(15.2-3.1333333333333333j),(16.133333333333333+2.4j),(46.333333333333336-1.7333333333333334j)
2022-08-21 20:15:00,NAK,NAK02,,,,,(14.72222222222222-3j),(15.88888888888889+2.055555555555556j),(46.16666666666666-0.3888888888888889j)
2022-08-21 20:20:00,NAK,NAK02,,,,,(14.4-3j),(16.333333333333332+2.2j),(46.13333333333333-0.6j)
2022-08-21 20:25:00,NAK,NAK02,,,,,(14.466666666666669-3j),(16.133333333333333+2.066666666666667j),(45.53333333333333-1j)
2022-08-21 20:30:00,NAK,NAK02,,,,,(15.375-2.9375j),(16.0625+2j),(46.5625-1.375j)
2022-08-21 20:35:00,NAK,NAK02,,,,,(15.307692307692308-3j),(16+2.076923076923077j),(46.76923076923077-0.3846153846153846j)
2022-08-21 20:40:00,NAK,NAK02,,,,,(14.933333333333334-2.8666666666666667j),(16.8+2j),(47.66666666666666+2j)
2022-08-21 20:45:00,NAK,NAK02,,,,,(14.357142857142858-3j),(16.071428571428573+2j),(45.5-1.2142857142857142j)
2022-08-21 20:50:00,NAK,NAK02,,,,,(14.714285714285714-3j),(16+2j),(45.57142857142857-2.142857142857143j)
2022-08-21 20:55:00,NAK,NAK02,,,,,(15.333333333333334-3.066666666666667j),(18.133333333333333+2.1333333333333333j),(48.73333333333333-0.3333333333333333j)
2022-08-21 21:00:00,NAK,NAK02,,,,,(14.666666666666666-3j),(16.75+2.1666666666666665j),(47.583333333333336+1j)
2022-08-21 21:05:00,NAK,NAK02,,,,,(15.071428571428571-2.5j),(16.142857142857142+2j),(47.42857142857143+0.0714285714285714j)
2022-08-21 21:10:00,NAK,NAK02,,,,,(15.428571428571429-2.142857142857143j),(15.928571428571429+2j),(46.642857142857146-0.8571428571428571j)
2022-08-21 21:15:00,NAK,NAK02,,,,,(15.0625-2.125j),(15+2j),(44.75-3j)
2022-08-21 21:20:00,NAK,NAK02,,,,,(15.866666666666667-2.933333333333333j),(18.133333333333333+2.533333333333333j),(49.73333333333333+0.3333333333333333j)
2022-08-21 21:25:00,NAK,NAK02,,,,,(15-2.857142857142857j),(16.571428571428573+2.071428571428572j),(47.21428571428572+0.9285714285714286j)
2022-08-21 21:30:00,NAK,NAK02,,,,,(15.083333333333334-2.833333333333333j),(15.833333333333334+2j),(46.66666666666666-1.5833333333333333j)
2022-08-21 21:35:00,NAK,NAK02,,,,,(15.285714285714286-3j),(17+2.5j),(48.142857142857146-0.9285714285714286j)
2022-08-21 21:40:00,NAK,NAK02,,,,,(15-3j),(17.785714285714285+3j),(48.85714285714285+0.0714285714285714j)
2022-08-21 21:45:00,NAK,NAK02,,,,,(15.153846153846152-2.6923076923076925j),(17.307692307692307+2.769230769230769j),(47.84615384615385-0.3846153846153846j)
