time,building,meter,avgVoltage,currentA,currentB,currentC,powerA,powerB,powerC
2022-08-18 13:35:00,NAG,NAG02,,,,,(57-25.63636363636364j),(62.09090909090909-28.545454545454547j),(58.72727272727273-30.63636363636364j)
2022-08-18 13:40:00,NAG,NAG02,,,,,(57.72727272727273-25.454545454545453j),(62.81818181818182-29j),(59-30.90909090909091j)
2022-08-18 13:45:00,NAG,NAG02,,,,,(57.84615384615385-25.384615384615383j),(63-28.846153846153847j),(59-31j)
2022-08-18 13:50:00,NAG,NAG02,,,,,(58.0625-25.5625j),(63.1875-29.375j),(59.25-31.3125j)
2022-08-18 13:55:00,NAG,NAG02,,,,,(56.3-25.4j),(61.5-28.5j),(57.8-30.8j)
2022-08-18 14:00:00,NAG,NAG02,,,,,(53.91666666666666-25j),(58.91666666666666-27.666666666666668j),(56.25-30j)
2022-08-18 14:05:00,NAG,NAG02,,,,,(51.285714285714285-24.285714285714285j),(56.42857142857143-26.5j),(53.785714285714285-29.071428571428573j)
2022-08-18 14:10:00,NAG,NAG02,,,,,(55.81818181818182-27.63636363636364j),(61.90909090909091-29.818181818181817j),(58.45454545454545-32.45454545454545j)
2022-08-18 14:15:00,NAG,NAG02,,,,,(64.92857142857143-30.642857142857142j),(71.57142857142857-33.42857142857143j),(66.92857142857143-35.714285714285715j)
2022-08-18 14:20:00,NAG,NAG02,,,,,(63.72727272727273-28j),(71-31.181818181818183j),(65.72727272727273-33.72727272727273j)
2022-08-18 14:25:00,NAG,NAG02,,,,,(66.6875-30.75j),(73.375-33.5625j),(68.625-35.875j)
2022-08-18 14:30:00,NAG,NAG02,,,,,(73.66666666666667-35.8j),(77.93333333333334-38.93333333333333j),(75.13333333333334-40.8j)
2022-08-18 14:35:00,NAG,NAG02,,,,,(73-35.5j),(76.9375-38.25j),(74.5-40.5j)
2022-08-18 14:40:00,NAG,NAG02,,,,,(80.85714285714286-36.642857142857146j),(85.07142857142857-39.642857142857146j),(82.21428571428571-41.285714285714285j)
2022-08-18 14:45:00,NAG,NAG02,,,,,(74.28571428571429-35.785714285714285j),(78.07142857142857-38.35714285714285j),(75.64285714285714-40.142857142857146j)
2022-08-18 14:50:00,NAG,NAG02,,,,,(65-34.53846153846154j),(68.53846153846153-36.61538461538461j),(66.84615384615384-38.53846153846154j)
2022-08-18 14:55:00,NAG,NAG02,,,,,(63.85714285714285-34j),(67.07142857142857-36.285714285714285j),(65.5-37.85714285714285j)
2022-08-18 15:00:00,NAG,NAG02,,,,,(61.73333333333333-33.333333333333336j),(64.73333333333333-35.4j),(63.66666666666666-37.2j)
2022-08-18 15:05:00,NAG,NAG02,,,,,(65.625-34.375j),(68.875-36.75j),(67.75-38.25j)
2022-08-18 15:10:00,NAG,NAG02,,,,,(72.6923076923077-34j),(76.07692307692308-36.53846153846154j),(73.92307692307692-37.92307692307692j)
2022-08-18 15:15:00,NAG,NAG02,,,,,(74.35714285714286-34.785714285714285j),(77.71428571428571-37.71428571428572j),(75.5-39.142857142857146j)
2022-08-18 15:20:00,NAG,NAG02,,,,,(62.61538461538461-34.23076923076923j),(66.61538461538461-36j),(65-38.15384615384615j)
2022-08-18 15:25:00,NAG,NAG02,,,,,(62.875-34j),(67.3125-36.125j),(64.875-38.0625j)
2022-08-18 15:30:00,NAG,NAG02,,,,,(67.6923076923077-33.92307692307692j),(71.92307692307692-37.15384615384615j),(68.76923076923077-38.15384615384615j)
2022-08-18 15:35:00,NAG,NAG02,,,,,(71.9090909090909-34.09090909090909j),(76.27272727272727-37.09090909090909j),(72.9090909090909-38.36363636363637j)
2022-08-18 15:40:00,NAG,NAG02,,,,,(71-34j),(75.0909090909091-36.45454545454545j),(72.81818181818181-37.90909090909091j)
2022-08-18 15:45:00,NAG,NAG02,,,,,(66.66666666666667-31.58333333333333j),(70.91666666666667-33.916666666666664j),(68.33333333333333-35.666666666666664j)
