time,building,meter,avgVoltage,currentA,currentB,currentC,powerA,powerB,powerC
2022-08-10 19:55:00,NBM,NBM01,,,,,(51.90909090909091-19j),(67.27272727272727-20j),(61-11.818181818181818j)
2022-08-10 20:00:00,NBM,NBM01,,,,,(51.66666666666666-18.866666666666667j),(66.8-19.933333333333334j),(60.2-11.866666666666667j)
2022-08-10 20:05:00,NBM,NBM01,,,,,(50.86666666666667-19j),(66.6-19.8j),(59.93333333333333-11.333333333333334j)
2022-08-10 20:10:00,NBM,NBM01,,,,,(51.266666666666666-19j),(66.26666666666667-20j),(60-11.4j)
2022-08-10 20:15:00,NBM,NBM01,,,,,(51.266666666666666-18.933333333333334j),(66.13333333333334-20.2j),(60.266666666666666-11.333333333333334j)
2022-08-10 20:20:00,NBM,NBM01,,,,,(51.4-19.2j),(66.33333333333333-20.4j),(60.4-11.933333333333334j)
2022-08-10 20:25:00,NBM,NBM01,,,,,(59.13333333333333-23j),(74.13333333333334-24j),(68.13333333333334-15.2j)
2022-08-10 20:30:00,NBM,NBM01,,,,,(55.4-21.73333333333333j),(70.2-22.33333333333333j),(63.53333333333333-13.8j)
2022-08-10 20:35:00,NBM,NBM01,,,,,(51.46666666666667-19.73333333333333j),(66.6-20.133333333333333j),(59.46666666666667-11.8j)
2022-08-10 20:40:00,NBM,NBM01,,,,,(54.2-21.6j),(68.73333333333333-22.6j),(62.6-14.266666666666667j)
2022-08-10 20:45:00,NBM,NBM01,,,,,(57.73333333333333-23j),(71.86666666666666-24.33333333333333j),(66.06666666666666-16.066666666666666j)
2022-08-10 20:50:00,NBM,NBM01,,,,,(50.93333333333333-20.266666666666666j),(65.26666666666667-21.066666666666663j),(58.66666666666666-12.666666666666666j)
2022-08-10 20:55:00,NBM,NBM01,,,,,(50.06666666666667-19.866666666666667j),(64-20.933333333333334j),(57.86666666666667-12.133333333333333j)
2022-08-10 21:00:00,NBM,NBM01,,,,,(49.93333333333333-19.8j),(62.6-21.133333333333333j),(57.73333333333333-12.466666666666669j)
