# voltage_out.csv run at 1999-12-31 19:00:00 EST on 25 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
source,12470.562000,0.000000,12470.562000,4.188790,12470.562000,2.094395
n111,12470.562000,-0.000000,12470.562000,4.188790,12470.562000,2.094395
n125,12470.562000,-0.000000,12470.562000,4.188790,12470.562000,2.094395
n127,12470.562000,-0.000000,12470.562000,4.188790,12470.562000,2.094395
n128,12470.562000,-0.000000,12470.562000,4.188790,12470.562000,2.094395
n129,12470.562000,-0.000000,12470.562000,4.188790,12470.562000,2.094395
n130,480.021633,-0.000000,480.021633,4.188790,480.021633,2.094395
m_t11,480.021633,-0.000000,480.021633,4.188790,480.021633,2.094395
l131,480.021633,-0.000000,480.021633,4.188790,480.021633,2.094395
