average_voltage,current_A,current_B,current_C
(12212.651754150207+0j),(57.06666666666667+0j),(58.333333333333336-120j),(59+120j)
(12223.082549013567+0j),(56.4+0j),(58.13333333333333-120j),(58.66666666666666+120j)
(12222.092805694958+0j),(56.71428571428572+0j),(58.142857142857146-120j),(59.142857142857146+120j)
(12211.824218764368+0j),(56.642857142857146+0j),(58.07142857142857-120j),(58.85714285714285+120j)
(12207.183210831266+0j),(57.07692307692308+0j),(58.61538461538461-120j),(59.38461538461539+120j)
(12203.741314995714+0j),(56.85714285714285+0j),(58.07142857142857-120j),(59.07142857142857+120j)
(12201.335688874093+0j),(56.8+0j),(58.46666666666667-120j),(59.2+120j)
(12203.876030058525+0j),(56.93333333333333+0j),(58.6-120j),(59.06666666666667+120j)
(12203.722069986741+0j),(57.6+0j),(58.93333333333333-120j),(59.13333333333333+120j)
(12207.849384218793+0j),(57.92307692307692+0j),(59.46153846153846-120j),(60.15384615384615+120j)
(12213.306084455287+0j),(57.86666666666667+0j),(60.06666666666667-120j),(59.86666666666667+120j)
(12212.566526253328+0j),(57.285714285714285+0j),(59-120j),(59.07142857142857+120j)
(12205.723550919933+0j),(57.06666666666667+0j),(58.53333333333333-120j),(58.93333333333333+120j)
