time,building,meter,avgVoltage,currentA,currentB,currentC,powerA,powerB,powerC
2022-08-12 05:05:00,NBN,NBN01,,,,,(60+36.6j),(57.8+38.6j),(175.8+113.66666666666669j)
2022-08-12 05:10:00,NBN,NBN01,,,,,(58.53333333333333+36.13333333333333j),(57.266666666666666+38.333333333333336j),(172.2+113.2j)
2022-08-12 05:15:00,NBN,NBN01,,,,,(59.333333333333336+36.4j),(58.73333333333333+38.13333333333333j),(176.26666666666668+113.66666666666669j)
2022-08-12 05:20:00,NBN,NBN01,,,,,(57.8+35.13333333333333j),(56.4+36.86666666666667j),(170.2+109.53333333333332j)
2022-08-12 05:25:00,NBN,NBN01,,,,,(59.8+37j),(58.4+39.2j),(176.06666666666666+115.46666666666668j)
2022-08-12 05:30:00,NBN,NBN01,,,,,(58+35.6j),(56.333333333333336+37.46666666666667j),(170.46666666666667+111j)
2022-08-12 05:35:00,NBN,NBN01,,,,,(60+37.2j),(58.46666666666667+39.06666666666667j),(176.46666666666667+115.93333333333334j)
2022-08-12 05:40:00,NBN,NBN01,,,,,(59.13333333333333+37.2j),(57.13333333333333+38.66666666666666j),(173.86666666666667+114.26666666666668j)
2022-08-12 05:45:00,NBN,NBN01,,,,,(57.73333333333333+35.8j),(56.266666666666666+38.13333333333333j),(169.66666666666666+112j)
2022-08-12 05:50:00,NBN,NBN01,,,,,(59+36.73333333333333j),(57.66666666666666+39j),(173.33333333333334+115.06666666666666j)
2022-08-12 05:55:00,NBN,NBN01,,,,,(56.4+34.266666666666666j),(54.8+36.53333333333333j),(165.46666666666667+107.73333333333332j)
2022-08-12 06:00:00,NBN,NBN01,,,,,(58.13333333333333+35.733333333333334j),(57.2+38j),(171.86666666666667+112.26666666666668j)
2022-08-12 06:05:00,NBN,NBN01,,,,,(57.66666666666666+35.46666666666667j),(56.53333333333333+37.66666666666666j),(169.8+111.66666666666669j)
2022-08-12 06:10:00,NBN,NBN01,,,,,(57.53333333333333+35.53333333333333j),(54.93333333333333+37.13333333333333j),(167.8+109.46666666666668j)
2022-08-12 06:15:00,NBN,NBN01,,,,,(58.73333333333333+36.8j),(57.266666666666666+39j),(172.66666666666666+114.93333333333334j)
2022-08-12 06:20:00,NBN,NBN01,,,,,(57.46666666666667+35.6j),(56.06666666666667+38.2j),(168.93333333333334+112.2j)
2022-08-12 06:25:00,NBN,NBN01,,,,,(49.86666666666667+28.73333333333333j),(48.266666666666666+31.666666666666668j),(144.73333333333332+91.8j)
2022-08-12 06:30:00,NBN,NBN01,,,,,(56.8+35.13333333333333j),(55.13333333333333+37.53333333333333j),(166.26666666666668+110.33333333333331j)
2022-08-12 06:35:00,NBN,NBN01,,,,,(57.86666666666667+35.6j),(56.266666666666666+38.2j),(169.2+111.93333333333334j)
2022-08-12 06:40:00,NBN,NBN01,,,,,(55.66666666666666+33.6j),(53.53333333333333+35.86666666666667j),(162.4+104.93333333333334j)
2022-08-12 06:45:00,NBN,NBN01,,,,,(53+30j),(52+32.2j),(156+95.33333333333331j)
2022-08-12 06:50:00,NBN,NBN01,,,,,(57.53333333333333+33.8j),(57.06666666666667+35.266666666666666j),(170.66666666666666+105.66666666666669j)
2022-08-12 06:55:00,NBN,NBN01,,,,,(56.13333333333333+32.13333333333333j),(54.66666666666666+34.46666666666667j),(164.6+101.66666666666669j)
2022-08-12 07:00:00,NBN,NBN01,,,,,(51.2+28.73333333333333j),(49.66666666666666+31.466666666666665j),(149.2+91.6j)
2022-08-12 07:05:00,NBN,NBN01,,,,,(57.266666666666666+32.46666666666667j),(55.66666666666666+34.8j),(167.8+102.2j)
