time,building,gld_object,property,complex_value,double_value,anomaly
2022-08-10 19:55:00,main,msource,measured_voltage_A,(12470.553654530098+0.2722472737637513j),N/A,0
2022-08-10 19:55:00,main,msource,measured_voltage_B,(-6235.128044510138-10799.925542220062j),N/A,0
2022-08-10 19:55:00,main,msource,measured_voltage_C,(-6235.5176528574475+10799.849022408487j),N/A,0
2022-08-10 19:55:00,main,msource,measured_current_A,(0.006437133311387733-0.003783664329071179j),N/A,0
2022-08-10 19:55:00,main,msource,measured_current_B,(-0.0024292876332765445-0.004178391463938169j),N/A,0
2022-08-10 19:55:00,main,msource,measured_current_C,(-0.004809271558769979+0.008359920684597455j),N/A,0
2022-08-10 19:55:00,main,msource,measured_power_A,(80.27358624872531+47.18614151840865j),N/A,0
2022-08-10 19:55:00,main,msource,measured_power_B,(60.27323614720435+0.1833197622800249j),N/A,0
2022-08-10 19:55:00,main,msource,measured_power_C,(120.27417893505776+0.1890262628166539j),N/A,0
2022-08-10 20:00:00,main,msource,measured_voltage_A,(12470.54958952044+0.11614103221828775j),N/A,0
2022-08-10 20:00:00,main,msource,measured_voltage_B,(-6235.239431062682-10799.844464746862j),N/A,0
2022-08-10 20:00:00,main,msource,measured_voltage_C,(-6235.362449477765+10799.906711472664j),N/A,0
2022-08-10 20:00:00,main,msource,measured_current_A,(0.004206308463622355-0.0012976716477763883j),N/A,0
2022-08-10 20:00:00,main,msource,measured_current_B,(-0.0024430664780084044-0.001796634023776278j),N/A,0
2022-08-10 20:00:00,main,msource,measured_current_C,(-0.002204515112680383+0.0026666657504392788j),N/A,0
2022-08-10 20:00:00,main,msource,measured_power_A,(52.45482757149746+16.183167159516948j),N/A,0
2022-08-10 20:00:00,main,msource,measured_power_B,(34.63647245324155+15.182294671289021j),N/A,0
2022-08-10 20:00:00,main,msource,measured_power_C,(42.54569208833696-7.1809300753822605j),N/A,0
2022-08-10 20:05:00,main,msource,measured_voltage_A,(12470.549587910216+0.11634896987516083j),N/A,0
2022-08-10 20:05:00,main,msource,measured_voltage_B,(-6235.239183088538-10799.84379302789j),N/A,0
2022-08-10 20:05:00,main,msource,measured_voltage_C,(-6235.362768930895+10799.90660428881j),N/A,0
2022-08-10 20:05:00,main,msource,measured_current_A,(0.0041966081368305375-0.0013632774822913696j),N/A,0
2022-08-10 20:05:00,main,msource,measured_current_B,(-0.0023787288228049874-0.0016823105397634208j),N/A,0
2022-08-10 20:05:00,main,msource,measured_current_C,(-0.0021931828086962923+0.0026227007765555754j),N/A,0
2022-08-10 20:05:00,main,msource,measured_power_A,(52.333851255442006+17.001307716029604j),N/A,0
2022-08-10 20:05:00,main,msource,measured_power_B,(33.000634202705115+15.200291116611275j),N/A,0
2022-08-10 20:05:00,main,msource,measured_power_C,(42.0002138686001-7.332678723870988j),N/A,0
2022-08-10 20:10:00,main,msource,measured_voltage_A,(12470.549278736878+0.11589543068229101j),N/A,0
2022-08-10 20:10:00,main,msource,measured_voltage_B,(-6235.239632004392-10799.843769156767j),N/A,0
2022-08-10 20:10:00,main,msource,measured_voltage_C,(-6235.362425465555+10799.906811817073j),N/A,0
2022-08-10 20:10:00,main,msource,measured_current_A,(0.004111068600404222-0.0013312162343293021j),N/A,0
2022-08-10 20:10:00,main,msource,measured_current_B,(-0.002328824848518707-0.0016493231669301167j),N/A,0
2022-08-10 20:10:00,main,msource,measured_current_C,(-0.0021486266632564366+0.0025990448193624616j),N/A,0
2022-08-10 20:10:00,main,msource,measured_power_A,(51.267129287729894+16.601474104924108j),N/A,0
2022-08-10 20:10:00,main,msource,measured_power_B,(32.333213519176596+14.86701935330655j),N/A,0
2022-08-10 20:10:00,main,msource,measured_power_C,(41.46690781127314-6.998981327801374j),N/A,0
2022-08-10 20:15:00,main,msource,measured_voltage_A,(12470.548701517486+0.11509424243077118j),N/A,0
2022-08-10 20:15:00,main,msource,measured_voltage_B,(-6235.2409629963495-10799.844364043547j),N/A,0
2022-08-10 20:15:00,main,msource,measured_voltage_C,(-6235.361603134815+10799.906915208534j),N/A,0
2022-08-10 20:15:00,main,msource,measured_current_A,(0.00408433197790492-0.0013419144137549743j),N/A,0
2022-08-10 20:15:00,main,msource,measured_current_B,(-0.002322776708751917-0.0016281410353258252j),N/A,0
2022-08-10 20:15:00,main,msource,measured_current_C,(-0.0021372488845372573+0.002568585841800086j),N/A,0
2022-08-10 20:15:00,main,msource,measured_power_A,(50.93370639700569+16.734879133094527j),N/A,0
2022-08-10 20:15:00,main,msource,measured_power_B,(32.06674226653543+14.933775269947139j),N/A,0
2022-08-10 20:15:00,main,msource,measured_power_C,(41.06700762614981-7.066027475319679j),N/A,0
2022-08-10 20:20:00,main,msource,measured_voltage_A,(12470.548682254746+0.11517540412322655j),N/A,0
2022-08-10 20:20:00,main,msource,measured_voltage_B,(-6235.240846955775-10799.844246324117j),N/A,0
2022-08-10 20:20:00,main,msource,measured_voltage_C,(-6235.361662769029+10799.906832787112j),N/A,0
2022-08-10 20:20:00,main,msource,measured_current_A,(0.004116410603494103-0.0013632973816513072j),N/A,0
2022-08-10 20:20:00,main,msource,measured_current_B,(-0.0023001757654128596-0.001610342224012129j),N/A,0
2022-08-10 20:20:00,main,msource,measured_current_C,(-0.002187653080909513+0.0025703502615215257j),N/A,0
2022-08-10 20:20:00,main,msource,measured_power_A,(51.333741808695976+17.00154047552785j),N/A,0
2022-08-10 20:20:00,main,msource,measured_power_B,(31.7335950902902+14.80066839289021j),N/A,0
2022-08-10 20:20:00,main,msource,measured_power_C,(41.400351504204195-7.599385975702756j),N/A,0
2022-08-10 20:25:00,main,msource,measured_voltage_A,(12470.548094235104+0.11533495500449441j),N/A,0
2022-08-10 20:25:00,main,msource,measured_voltage_B,(-6235.241100909009-10799.843877433037j),N/A,0
2022-08-10 20:25:00,main,msource,measured_voltage_C,(-6235.361711985892+10799.906702482675j),N/A,0
2022-08-10 20:25:00,main,msource,measured_current_A,(0.0041163962050116965-0.0013151525235510775j),N/A,0
2022-08-10 20:25:00,main,msource,measured_current_B,(-0.002349006535951048-0.0017055936041288078j),N/A,0
2022-08-10 20:25:00,main,msource,measured_current_C,(-0.0021386767912190408+0.002592478267615661j),N/A,0
2022-08-10 20:25:00,main,msource,measured_power_A,(51.3335651664681+16.401147560569463j),N/A,0
2022-08-10 20:25:00,main,msource,measured_power_B,(33.066766742205324+14.73411651342964j),N/A,0
2022-08-10 20:25:00,main,msource,measured_power_C,(41.333946796743106-6.93247008288445j),N/A,0
2022-08-10 20:30:00,main,msource,measured_voltage_A,(12470.548986134454+0.11612198966948996j),N/A,0
2022-08-10 20:30:00,main,msource,measured_voltage_B,(-6235.239219844466-10799.844773662167j),N/A,0
2022-08-10 20:30:00,main,msource,measured_voltage_C,(-6235.362801230948+10799.906409984507j),N/A,0
2022-08-10 20:30:00,main,msource,measured_current_A,(0.004164500524567183-0.0013632932228946348j),N/A,0
2022-08-10 20:30:00,main,msource,measured_current_B,(-0.0023687516659265384-0.001675716703175567j),N/A,0
2022-08-10 20:30:00,main,msource,measured_current_C,(-0.0021904907043790445+0.002618080543470569j),N/A,0
2022-08-10 20:30:00,main,msource,measured_power_A,(51.93344948607614+17.001498508659555j),N/A,0
2022-08-10 20:30:00,main,msource,measured_power_B,(32.86721356838611+15.133655790371515j),N/A,0
2022-08-10 20:30:00,main,msource,measured_power_C,(41.93352909781079-7.332412567851833j),N/A,0
2022-08-10 20:35:00,main,msource,measured_voltage_A,(12470.548307481535+0.11574664402872906j),N/A,0
2022-08-10 20:35:00,main,msource,measured_voltage_B,(-6235.2402681389285-10799.844272822598j),N/A,0
2022-08-10 20:35:00,main,msource,measured_voltage_C,(-6235.36224129204+10799.906549690162j),N/A,0
2022-08-10 20:35:00,main,msource,measured_current_A,(0.0042180009379721994-0.0013365398238152082j),N/A,0
2022-08-10 20:35:00,main,msource,measured_current_B,(-0.00236702362599317-0.0017261208995478228j),N/A,0
2022-08-10 20:35:00,main,msource,measured_current_C,(-0.002169135768781416+0.0025810459192143753j),N/A,0
2022-08-10 20:35:00,main,msource,measured_power_A,(52.60062975798552+16.667872657213493j),N/A,0
2022-08-10 20:35:00,main,msource,measured_power_B,(33.400797939609774+14.80070801028134j),N/A,0
2022-08-10 20:35:00,main,msource,measured_power_C,(41.40040199687002-7.332707328719398j),N/A,0
2022-08-10 20:40:00,main,msource,measured_voltage_A,(12470.548767898308+0.11509529544565265j),N/A,0
2022-08-10 20:40:00,main,msource,measured_voltage_B,(-6235.2405272064325-10799.844397084793j),N/A,0
2022-08-10 20:40:00,main,msource,measured_voltage_C,(-6235.361860974223+10799.906945763965j),N/A,0
2022-08-10 20:40:00,main,msource,measured_current_A,(0.003998794331772082-0.0012723838743733396j),N/A,0
2022-08-10 20:40:00,main,msource,measured_current_B,(-0.0022636595531366765-0.00160056515596807j),N/A,0
2022-08-10 20:40:00,main,msource,measured_current_C,(-0.0020354855223558843+0.002349552232772112j),N/A,0
2022-08-10 20:40:00,main,msource,measured_power_A,(49.86701328176114+15.867785399275167j),N/A,0
2022-08-10 20:40:00,main,msource,measured_power_B,(31.400316417366717+14.467262214924006j),N/A,0
2022-08-10 20:40:00,main,msource,measured_power_C,(38.06693427281384-7.332745848299252j),N/A,0
2022-08-10 20:45:00,main,msource,measured_voltage_A,(12470.547832594648+0.1151346081058202j),N/A,0
2022-08-10 20:45:00,main,msource,measured_voltage_B,(-6235.241163383999-10799.843788928954j),N/A,0
2022-08-10 20:45:00,main,msource,measured_voltage_C,(-6235.361579487199+10799.90655002009j),N/A,0
2022-08-10 20:45:00,main,msource,measured_current_A,(0.0038651637983277976-0.0013792964996539592j),N/A,0
2022-08-10 20:45:00,main,msource,measured_current_B,(-0.0022773019736632705-0.001388980308547616j),N/A,0
2022-08-10 20:45:00,main,msource,measured_current_C,(-0.0018872560758609325+0.002274628059240058j),N/A,0
2022-08-10 20:45:00,main,msource,measured_power_A,(48.20055122309806+17.20102798838425j),N/A,0
2022-08-10 20:45:00,main,msource,measured_power_B,(29.20029736585344+15.933878380797019j),N/A,0
2022-08-10 20:45:00,main,msource,measured_power_C,(36.33349450192323-6.199060847046704j),N/A,0
2022-08-10 20:50:00,main,msource,measured_voltage_A,(12470.548447617797+0.11582847297679129j),N/A,0
2022-08-10 20:50:00,main,msource,measured_voltage_B,(-6235.240034511849-10799.844456369843j),N/A,0
2022-08-10 20:50:00,main,msource,measured_voltage_C,(-6235.362340121556+10799.906353104707j),N/A,0
2022-08-10 20:50:00,main,msource,measured_current_A,(0.004068290148095954-0.001432756401298363j),N/A,0
2022-08-10 20:50:00,main,msource,measured_current_B,(-0.0023606935428688303-0.0015013301890576258j),N/A,0
2022-08-10 20:50:00,main,msource,measured_current_C,(-0.001996486389543861+0.0023782195057719946j),N/A,0
2022-08-10 20:50:00,main,msource,measured_power_A,(50.73364343681067+17.86772933986124j),N/A,0
2022-08-10 20:50:00,main,msource,measured_power_B,(30.933623407184033+16.13396897230667j),N/A,0
2022-08-10 20:50:00,main,msource,measured_power_C,(38.13336399539155-6.73280569948863j),N/A,0
2022-08-10 20:55:00,main,msource,measured_voltage_A,(12470.547980409661+0.11508126051431963j),N/A,0
2022-08-10 20:55:00,main,msource,measured_voltage_B,(-6235.241362364283-10799.843910634036j),N/A,0
2022-08-10 20:55:00,main,msource,measured_voltage_C,(-6235.3615303917995+10799.906773090841j),N/A,0
2022-08-10 20:55:00,main,msource,measured_current_A,(0.004052249460567703-0.0014114042647117575j),N/A,0
2022-08-10 20:55:00,main,msource,measured_current_B,(-0.00232973434322048-0.0015438945411005989j),N/A,0
2022-08-10 20:55:00,main,msource,measured_current_C,(-0.001987755240406841+0.0023524262360297143j),N/A,0
2022-08-10 20:55:00,main,msource,measured_power_A,(50.53360890041682+17.60145094081863j),N/A,0
2022-08-10 20:55:00,main,msource,measured_power_B,(31.200275998535353+15.534212158225806j),N/A,0
