time,building,gld_object,property,complex_value,double_value
2022-08-10 19:55:00,R1,msource,measured_voltage_A,(12470+2.6631191045777217e-19j),N/A
2022-08-10 19:55:00,R1,msource,measured_voltage_B,(-6234.999999999997-10799.33678519195j),N/A
2022-08-10 19:55:00,R1,msource,measured_voltage_C,(-6234.999999999997+10799.33678519195j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_A,(-3.751715319081519e-19-4.4102224080353354e-20j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_B,(3.8941211888073237e-19+4.756540288776127e-20j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_C,(3.751715319081519e-19+4.4102224080353354e-20j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_A,(-4.678389002894654e-15+5.499547342820063e-16j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_B,(-2.941659366329641e-15-3.908822333023043e-15j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_C,(-1.862919730627588e-15+4.326581092433524e-15j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_A,(12210.509143151216-1.1553129811002167e-12j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_B,(-6105.254571575606-10574.611111111113j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_C,(-6105.254571575604+10574.611111111111j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_A,(-1.044060399710766e-12-8.492805827658322e-14j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_B,(1.40875400661425e-12-2.566690503450236e-12j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_C,(-4.600426161018423e-12+2.094956784666634e-12j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_A,(-1.2748509056670421e-08+1.0370148320963e-09j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_B,(1.854095207746114e-08-3.05673247011746e-08j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_C,(5.0240126143187134e-08-3.5857473111312355e-08j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_A,(12212.2283639528+1.1792080976515643e-12j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_B,(-6106.114181976396-10576.099999999999j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_C,(-6106.114181976396+10576.1j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_A,(1.2143615849334567e-12-2.5052165327224884e-12j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_B,(4.371574950498141e-12+5.859526593486057e-13j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_C,(-8.894757633436389e-13-1.545838368471975e-13j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_A,(1.4830060991619033e-08+3.059427639875706e-08j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_B,(-3.289042972334625e-08-4.2656319990748075e-08j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_C,(3.796346456197229e-09-1.0351091179175657e-08j),N/A
2022-08-10 20:10:00,R1,msource,measured_voltage_A,(12207.494091745448-5.854540654234409e-13j),N/A
2022-08-10 20:10:00,R1,msource,measured_voltage_B,(-6103.74704587272-10572j),N/A
2022-08-10 20:10:00,R1,msource,measured_voltage_C,(-6103.747045872721+10572j),N/A
2022-08-10 20:10:00,R1,msource,measured_current_A,(3.7292166543960824e-13+3.940752729224852e-12j),N/A
2022-08-10 20:10:00,R1,msource,measured_current_B,(-6.936318615725524e-13-1.4344668879648697e-12j),N/A
2022-08-10 20:10:00,R1,msource,measured_current_C,(-3.7292166543960824e-13-3.940752729224852e-12j),N/A
2022-08-10 20:10:00,R1,msource,measured_power_A,(4.5524390275378875e-09-4.810671565904213e-08j),N/A
2022-08-10 20:10:00,R1,msource,measured_power_B,(1.9398937365561265e-08-1.4225469892727836e-09j),N/A
2022-08-10 20:10:00,R1,msource,measured_power_C,(-3.9385418339596194e-08-2.7995885676548595e-08j),N/A
