time,building,gld_object,property,complex_value,double_value
2022-08-10 19:55:00,R1,msource,measured_voltage_A,(12470+2.6631191045777217e-19j),N/A
2022-08-10 19:55:00,R1,msource,measured_voltage_B,(-6234.999999999997-10799.33678519195j),N/A
2022-08-10 19:55:00,R1,msource,measured_voltage_C,(-6234.999999999997+10799.33678519195j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_A,(-3.751715319081519e-19-4.4102224080353354e-20j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_B,(3.8941211888073237e-19+4.756540288776127e-20j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_C,(3.751715319081519e-19+4.4102224080353354e-20j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_A,(-4.678389002894654e-15+5.499547342820063e-16j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_B,(-2.941659366329641e-15-3.908822333023043e-15j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_C,(-1.862919730627588e-15+4.326581092433524e-15j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_A,(12470-6.437292908538379e-13j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_B,(-6234.999999999997-10799.33678519195j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_C,(-6234.999999999998+10799.33678519195j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_A,(7.562491842745937e-13+1.3878703859827062e-12j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_B,(-1.1037300905762756e-12+1.2149250677595352e-12j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_C,(-7.562491842745937e-13-1.3878703859827062e-12j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_A,(9.430427327904182e-09-1.7306743713204347e-08j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_B,(-6.238627860764295e-09+1.9494610765564314e-08j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_C,(-1.02728660484695e-08-1.6820361491110193e-08j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_A,(12470-6.378009386174383e-13j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_B,(-6234.999999999997-10799.33678519195j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_C,(-6234.999999999997+10799.33678519195j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_A,(8.985131561793356e-13+1.0562216261831877e-13j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_B,(-9.326185017568677e-13-1.1391626666408968e-13j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_C,(-8.985131561793356e-13-1.0562216261831877e-13j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_A,(1.1204459057556315e-08-1.3171083678504357e-09j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_B,(7.045096487471307e-09+9.361393369922945e-09j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_C,(4.461580222682619e-09-1.0361900363431636e-08j),N/A
2022-08-10 20:10:00,R1,msource,measured_voltage_A,(12470-6.27644132878613e-13j),N/A
2022-08-10 20:10:00,R1,msource,measured_voltage_B,(-6234.999999999997-10799.33678519195j),N/A
2022-08-10 20:10:00,R1,msource,measured_voltage_C,(-6234.999999999997+10799.33678519195j),N/A
2022-08-10 20:10:00,R1,msource,measured_current_A,(8.842045795866532e-13+1.0394015852821135e-13j),N/A
2022-08-10 20:10:00,R1,msource,measured_current_B,(-9.177668068513817e-13-1.1210218123250115e-13j),N/A
2022-08-10 20:10:00,R1,msource,measured_current_C,(-8.842045795866532e-13-1.0394015852821135e-13j),N/A
2022-08-10 20:10:00,R1,msource,measured_power_A,(1.1026031107445566e-08-1.2961337768467962e-09j),N/A
2022-08-10 20:10:00,R1,msource,measured_power_B,(6.932905250202767e-09+9.212315737473639e-09j),N/A
2022-08-10 20:10:00,R1,msource,measured_power_C,(4.390530776270385e-09-1.0196889930388725e-08j),N/A
2022-08-10 20:15:00,R1,msource,measured_voltage_A,(12470-6.137430963402931e-13j),N/A
