time,building,gld_object,property,complex_value,double_value
2022-08-10 19:55:00,main,msource,measured_voltage_A,(12470.562+9.94653328168109e-14j),N/A
2022-08-10 19:55:00,main,msource,measured_voltage_B,(-6235.280999999998-10799.823491468878j),N/A
2022-08-10 19:55:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 19:55:00,main,msource,measured_current_A,(-3.3359369654962596e-13+1.3497132668977394e-12j),N/A
2022-08-10 19:55:00,main,msource,measured_current_B,(2.9984577658877416e-13-1.2610899711407925e-12j),N/A
2022-08-10 19:55:00,main,msource,measured_current_C,(-6.619686281437545e-15+1.35033784981996e-12j),N/A
2022-08-10 19:55:00,main,msource,measured_power_A,(2302.900907972479+472.59268979289527j),N/A
2022-08-10 19:55:00,main,msource,measured_power_B,(2952.701967843367+403.49903492898716j),N/A
2022-08-10 19:55:00,main,msource,measured_power_C,(2751.886097715113+2.662274073383287j),N/A
2022-08-10 20:00:00,main,msource,measured_voltage_A,(12312.235053080934-2.1529822383421947e-13j),N/A
2022-08-10 20:00:00,main,msource,measured_voltage_B,(-6156.117526540463-10662.708333333334j),N/A
2022-08-10 20:00:00,main,msource,measured_voltage_C,(-6156.1175265404645+10662.708333333334j),N/A
2022-08-10 20:00:00,main,msource,measured_current_A,(-6.316332283177292e-14+3.0389020478925703e-12j),N/A
2022-08-10 20:00:00,main,msource,measured_current_B,(-2.9113043513845493e-13-1.7387572907731725e-13j),N/A
2022-08-10 20:00:00,main,msource,measured_current_C,(3.746927080435183e-13-5.605493315716039e-12j),N/A
2022-08-10 20:00:00,main,msource,measured_power_A,(774.9253377673056+371.87379930292803j),N/A
2022-08-10 20:00:00,main,msource,measured_power_B,(1449.0766522985855+435.8683541256463j),N/A
2022-08-10 20:00:00,main,msource,measured_power_C,(1218.9284168364507+133.02452468226227j),N/A
2022-08-10 20:05:00,main,msource,measured_voltage_A,(12314.303891545527-1.2666904063494529e-12j),N/A
2022-08-10 20:05:00,main,msource,measured_voltage_B,(-6157.15194577276-10664.500000000002j),N/A
2022-08-10 20:05:00,main,msource,measured_voltage_C,(-6157.15194577276+10664.499999999998j),N/A
2022-08-10 20:05:00,main,msource,measured_current_A,(-3.1864053836008052e-12-3.2393627526209985e-12j),N/A
2022-08-10 20:05:00,main,msource,measured_current_B,(-1.997255255934522e-12-3.158810360721286e-13j),N/A
2022-08-10 20:05:00,main,msource,measured_current_C,(-1.8941245153866517e-12-1.8178796469418605e-13j),N/A
2022-08-10 20:05:00,main,msource,measured_power_A,(772.0562679391223+373.6635221872793j),N/A
2022-08-10 20:05:00,main,msource,measured_power_B,(1448.5378469842758+432.87888310800236j),N/A
2022-08-10 20:05:00,main,msource,measured_power_C,(1223.996188405656+130.72251354495916j),N/A
2022-08-10 20:10:00,main,msource,measured_voltage_A,(12309.10773912282+7.521751046622251e-13j),N/A
2022-08-10 20:10:00,main,msource,measured_voltage_B,(-6154.553869561408-10659.999999999998j),N/A
2022-08-10 20:10:00,main,msource,measured_voltage_C,(-6154.553869561407+10660j),N/A
2022-08-10 20:10:00,main,msource,measured_current_A,(1.4616210876479755e-12+1.5810138753495853e-12j),N/A
2022-08-10 20:10:00,main,msource,measured_current_B,(3.9438635812686475e-12-8.121124895165715e-13j),N/A
2022-08-10 20:10:00,main,msource,measured_current_C,(-1.7475003217258313e-12+1.1328925970048549e-12j),N/A
2022-08-10 20:10:00,main,msource,measured_power_A,(766.5240578743383+373.3279475003105j),N/A
2022-08-10 20:10:00,main,msource,measured_power_B,(1444.2391694572061+433.282442723509j),N/A
2022-08-10 20:10:00,main,msource,measured_power_C,(1214.595607592446+132.5246000878069j),N/A
2022-08-10 20:15:00,main,msource,measured_voltage_A,(12304.373466915467+1.0903077410641273e-13j),N/A
2022-08-10 20:15:00,main,msource,measured_voltage_B,(-6152.186733457729-10655.9j),N/A
2022-08-10 20:15:00,main,msource,measured_voltage_C,(-6152.18673345773+10655.9j),N/A
2022-08-10 20:15:00,main,msource,measured_current_A,(-4.0022654857721696e-13+1.5432938244665553e-12j),N/A
2022-08-10 20:15:00,main,msource,measured_current_B,(3.6036636798976344e-13-1.4421152409447652e-12j),N/A
2022-08-10 20:15:00,main,msource,measured_current_C,(7.070087548997817e-13-4.157141111978689e-12j),N/A
2022-08-10 20:15:00,main,msource,measured_power_A,(763.723545758558+373.195120827588j),N/A
2022-08-10 20:15:00,main,msource,measured_power_B,(1437.2686773687788+436.91254609162866j),N/A
2022-08-10 20:15:00,main,msource,measured_power_C,(1199.4609576589587+134.18623963335j),N/A
2022-08-10 20:20:00,main,msource,measured_voltage_A,(12302.487456036113+1.6250470312999607e-12j),N/A
2022-08-10 20:20:00,main,msource,measured_voltage_B,(-6151.243728018051-10654.266666666665j),N/A
2022-08-10 20:20:00,main,msource,measured_voltage_C,(-6151.243728018053+10654.266666666665j),N/A
2022-08-10 20:20:00,main,msource,measured_current_A,(-2.676385526826127e-12-1.5900523671955128e-13j),N/A
2022-08-10 20:20:00,main,msource,measured_current_B,(2.4964962969467152e-12+1.2610632360333548e-13j),N/A
2022-08-10 20:20:00,main,msource,measured_current_C,(3.2444554476235916e-12-5.175537463469396e-12j),N/A
2022-08-10 20:20:00,main,msource,measured_power_A,(765.6576516196919+371.728458105312j),N/A
2022-08-10 20:20:00,main,msource,measured_power_B,(1438.6144559065503+435.2591556382529j),N/A
2022-08-10 20:20:00,main,msource,measured_power_C,(1201.3957437304846+131.78458348171546j),N/A
2022-08-10 20:25:00,main,msource,measured_voltage_A,(12293.17287169319+3.691496804719247e-14j),N/A
2022-08-10 20:25:00,main,msource,measured_voltage_B,(-6146.586435846591-10646.2j),N/A
2022-08-10 20:25:00,main,msource,measured_voltage_C,(-6146.58643584659+10646.200000000003j),N/A
2022-08-10 20:25:00,main,msource,measured_current_A,(2.939675327189815e-12-9.168533258842506e-13j),N/A
