time,building,gld_object,property,complex_value,double_value
2022-08-10 19:55:00,R1,msource,measured_voltage_A,(12470+2.4841584208665438e-14j),N/A
2022-08-10 19:55:00,R1,msource,measured_voltage_B,(-6234.999999999997-10799.33678519195j),N/A
2022-08-10 19:55:00,R1,msource,measured_voltage_C,(-6234.999999999997+10799.33678519195j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_A,(-4.013068996619267e-14-5.421782429311065e-15j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_B,(3.7458486679002836e-14+4.722824071749601e-15j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_C,(3.891703414441245e-14+5.104330952508004e-15j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_A,(-5.004297038784226e-10+6.760962689350897e-11j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_B,(-2.8455703217161805e-10-3.750800050228192e-10j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_C,(-1.8752431887119798e-10+4.521036618952119e-10j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_A,(12210.509143151214-4.3447553241557385e-13j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_B,(-6105.254571575606-10574.611111111113j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_C,(-6105.254571575607+10574.61111111111j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_A,(-5.040274473854345e-12+6.578006018393995e-13j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_B,(-1.2757887237110876e-12+4.014882099010997e-12j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_C,(-7.616714120312179e-13+1.353524168981556e-12j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_A,(-6.154431754699014e-08-8.032080263130358e-09j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_B,(-3.466680191620107e-08+3.800284690250949e-08j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_C,(1.8963189586811833e-08+2.0923064373171332e-10j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_A,(12212.228363952798-1.3161713544573306e-13j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_B,(-6106.114181976397-10576.099999999999j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_C,(-6106.114181976399+10576.1j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_A,(3.0855117536601018e-12+3.13615115781205e-13j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_B,(1.790627776952204e-12+5.7025074540595095e-12j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_C,(-2.9918101025505363e-12-2.9238221126116625e-13j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_A,(3.768097415535763e-08-3.829939412307572e-09j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_B,(-7.124406674836749e-08+1.5882303206234686e-08j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_C,(1.5176070592444872e-08-3.3427001992324154e-08j),N/A
2022-08-10 20:10:00,R1,msource,measured_voltage_A,(12207.494091745446-6.707395730111224e-13j),N/A
2022-08-10 20:10:00,R1,msource,measured_voltage_B,(-6103.747045872721-10572.000000000002j),N/A
2022-08-10 20:10:00,R1,msource,measured_voltage_C,(-6103.74704587272+10572j),N/A
2022-08-10 20:10:00,R1,msource,measured_current_A,(-1.832199250166544e-12+1.1719917706013513e-12j),N/A
2022-08-10 20:10:00,R1,msource,measured_current_B,(1.69845825898757e-12-1.1077944233451299e-12j),N/A
2022-08-10 20:10:00,R1,msource,measured_current_C,(-3.8730295203088635e-12+8.671939756209349e-13j),N/A
2022-08-10 20:10:00,R1,msource,measured_power_A,(-2.2366561521308525e-08-1.4307082615190279e-08j),N/A
2022-08-10 20:10:00,R1,msource,measured_power_B,(1.3446430627712097e-09-2.4717797652943707e-08j),N/A
2022-08-10 20:10:00,R1,msource,measured_power_C,(3.2807967203427586e-08-3.56525354218104e-08j),N/A
2022-08-10 20:15:00,R1,msource,measured_voltage_A,(12202.999007506754+1.1809385151440468e-12j),N/A
2022-08-10 20:15:00,R1,msource,measured_voltage_B,(-6101.499503753372-10568.107142857138j),N/A
2022-08-10 20:15:00,R1,msource,measured_voltage_C,(-6101.499503753373+10568.107142857141j),N/A
2022-08-10 20:15:00,R1,msource,measured_current_A,(3.820422601151117e-12-7.673193293473241e-13j),N/A
